"","gender","age","education","device","Z","SRT","CRT.RT","CRT.ACC","BDS","FDS","DSM","Matrix","CPT.C","CPT.D","Vis","Verb","TA.total","TA.errors","TA.mRT","TB.total","TB.errors","TB.mRT"
"1","F","12",NA,"Windows","-4","479","1855",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75678","18","1507","114873","14","2663"
"2","F","12",NA,"Windows","-3.75","468","1796",NA,NA,NA,NA,"1",NA,NA,NA,NA,"72803","17","1456","110629","14","2567"
"3","F","12",NA,"Windows","-3.5","456","1737",NA,NA,NA,"3","3",NA,NA,NA,NA,"69928","16","1406","106386","13","2471"
"4","F","12",NA,"Windows","-3.25","445","1677",NA,NA,NA,"6","4",NA,NA,NA,NA,"67054","15","1355","102142","12","2375"
"5","F","12",NA,"Windows","-3","433","1618",NA,NA,NA,"10","6",NA,NA,NA,NA,"64179","14","1305","97899","11","2279"
"6","F","12",NA,"Windows","-2.75","422","1558","0.52",NA,NA,"13","7",NA,NA,NA,NA,"61304","13","1254","93655","11","2183"
"7","F","12",NA,"Windows","-2.5","410","1499","0.55",NA,NA,"16","9","0.01","0.01",NA,NA,"58429","12","1204","89412","10","2087"
"8","F","12",NA,"Windows","-2.25","399","1439","0.58",NA,NA,"20","10","0.209","0.209",NA,NA,"55554","11","1153","85169","9","1991"
"9","F","12",NA,"Windows","-2","387","1380","0.62",NA,NA,"23","12","0.408","0.408","5",NA,"52680","10","1102","80925","8","1895"
"10","F","12",NA,"Windows","-1.75","376","1321","0.65",NA,"2","26","13","0.607","0.607","7","7","49805","9","1052","76682","8","1799"
"11","F","12",NA,"Windows","-1.5","364","1261","0.68",NA,"3","30","15","0.806","0.806","8","8","46930","8","1001","72438","7","1703"
"12","F","12",NA,"Windows","-1.25","352","1202","0.72","2","3","33","16","1.005","1.005","9","9","44055","7","951","68195","6","1607"
"13","F","12",NA,"Windows","-1","341","1142","0.75","3","4","36","18","1.204","1.204","10","11","41180","6","900","63951","5","1511"
"14","F","12",NA,"Windows","-0.75","329","1083","0.78","3","4","40","20","1.403","1.403","11","12","38306","5","850","59708","5","1415"
"15","F","12",NA,"Windows","-0.5","318","1024","0.82","4","4","43","21","1.602","1.602","12","14","35431","4","799","55464","4","1319"
"16","F","12",NA,"Windows","-0.25","306","964","0.85","4","5","46","23","1.801","1.801","14","15","32556","3","749","51221","3","1223"
"17","F","12",NA,"Windows","0","295","905","0.89","5","5","50","24","2","2","15","16","29681","2","698","46978","2","1127"
"18","F","12",NA,"Windows","0.25","283","845","0.92","5","6","53","26","2.199","2.199","16","18","26806","1","648","42734","2","1031"
"19","F","12",NA,"Windows","0.5","272","786","0.95","5","6","56","27","2.398","2.398","17","19","23932",NA,"597","38491","1","935"
"20","F","12",NA,"Windows","0.75","260","727","0.99","6","6","60","29","2.597","2.597","18","20","21057",NA,"547","34247","0","839"
"21","F","12",NA,"Windows","1","248","667",NA,"6","7","63","30","2.796","2.796","20","22","18182",NA,"496","30004",NA,"742"
"22","F","12",NA,"Windows","1.25","237","608",NA,"7","7","66","32","2.995","2.995","21","23","15307",NA,"446","25760",NA,"646"
"23","F","12",NA,"Windows","1.5","225","548",NA,"7","8","70","33","3.194","3.194","22","25","12432",NA,"395","21517",NA,"550"
"24","F","12",NA,"Windows","1.75","214",NA,NA,"8","8","73","35","3.393","3.393","23",NA,"9558",NA,"344","17274",NA,"454"
"25","F","12",NA,"Windows","2","202",NA,NA,"8","9","76",NA,"3.592","3.592",NA,NA,"6683",NA,"294","13030",NA,"358"
"26","F","12",NA,"Windows","2.25",NA,NA,NA,"9","9","80",NA,"3.791","3.791",NA,NA,NA,NA,"243","8787",NA,"262"
"27","F","12",NA,"Windows","2.5",NA,NA,NA,"9","9","83",NA,"3.99","3.99",NA,NA,NA,NA,"193",NA,NA,"166"
"28","F","12",NA,"Windows","2.75",NA,NA,NA,"10","10","86",NA,"4.189","4.189",NA,NA,NA,NA,NA,NA,NA,NA
"29","F","12",NA,"Windows","3",NA,NA,NA,"10","10","90",NA,"4.388","4.388",NA,NA,NA,NA,NA,NA,NA,NA
"30","F","12",NA,"Windows","3.25",NA,NA,NA,"11","11","93",NA,"4.587","4.587",NA,NA,NA,NA,NA,NA,NA,NA
"31","F","12",NA,"Windows","3.5",NA,NA,NA,NA,NA,"96",NA,"4.786","4.786",NA,NA,NA,NA,NA,NA,NA,NA
"32","F","12",NA,"Windows","3.75",NA,NA,NA,NA,NA,"100",NA,"4.985","4.985",NA,NA,NA,NA,NA,NA,NA,NA
"33","F","12",NA,"Windows","4",NA,NA,NA,NA,NA,"103",NA,"5.184","5.184",NA,NA,NA,NA,NA,NA,NA,NA
"34","F","12",NA,"Macintosh","-4","477","1839",NA,NA,NA,NA,"1",NA,NA,NA,NA,"76322","18","1554","116182","14","2703"
"35","F","12",NA,"Macintosh","-3.75","465","1779",NA,NA,NA,NA,"3",NA,NA,NA,NA,"73447","17","1503","111939","14","2607"
"36","F","12",NA,"Macintosh","-3.5","454","1720",NA,NA,NA,"3","4",NA,NA,NA,NA,"70572","16","1452","107696","13","2511"
"37","F","12",NA,"Macintosh","-3.25","442","1660",NA,NA,NA,"7","6",NA,NA,NA,NA,"67697","15","1402","103452","12","2415"
"38","F","12",NA,"Macintosh","-3","431","1601",NA,NA,NA,"10","7",NA,NA,NA,NA,"64822","14","1351","99209","11","2319"
"39","F","12",NA,"Macintosh","-2.75","419","1542","0.52",NA,NA,"13","9",NA,NA,NA,NA,"61948","13","1301","94965","11","2222"
"40","F","12",NA,"Macintosh","-2.5","408","1482","0.56",NA,NA,"17","10","0.132","0.132",NA,NA,"59073","12","1250","90722","10","2126"
"41","F","12",NA,"Macintosh","-2.25","396","1423","0.59",NA,NA,"20","12","0.331","0.331",NA,NA,"56198","11","1200","86478","9","2030"
"42","F","12",NA,"Macintosh","-2","385","1363","0.62",NA,NA,"23","13","0.53","0.53","5","6","53323","10","1149","82235","8","1934"
"43","F","12",NA,"Macintosh","-1.75","373","1304","0.66",NA,"2","27","15","0.729","0.729","6","8","50448","9","1099","77992","8","1838"
"44","F","12",NA,"Macintosh","-1.5","362","1244","0.69",NA,"3","30","16","0.928","0.928","8","9","47574","8","1048","73748","7","1742"
"45","F","12",NA,"Macintosh","-1.25","350","1185","0.72","2","3","33","18","1.127","1.127","9","11","44699","7","998","69505","6","1646"
"46","F","12",NA,"Macintosh","-1","338","1126","0.76","3","4","37","19","1.326","1.326","10","12","41824","6","947","65261","5","1550"
"47","F","12",NA,"Macintosh","-0.75","327","1066","0.79","3","4","40","21","1.524","1.524","11","13","38949","5","897","61018","5","1454"
"48","F","12",NA,"Macintosh","-0.5","315","1007","0.83","4","4","43","23","1.723","1.723","12","15","36074","4","846","56774","4","1358"
"49","F","12",NA,"Macintosh","-0.25","304","947","0.86","4","5","47","24","1.922","1.922","13","16","33200","3","796","52531","3","1262"
"50","F","12",NA,"Macintosh","0","292","888","0.89","5","5","50","26","2.121","2.121","15","17","30325","2","745","48287","2","1166"
